"t","DHbO2","DHHb","DHbT","Zero","Pulse","Ideal_DHbO2","Ideal_DHHb","Ideal_DHbT","Invert_DHHb","Invert_DHbO2","Invert_Ideal_DHHb"
17,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.1,0,0,0,0,0,0,0,0,0,0,0
17.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
17.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.2,0,0,0,0,0,0,0,0,0,0,0
18.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.7,0,0,0,0,0,0,0,0,0,0,0
18.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
18.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
