"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
-2.0147999999999997,-44.7982,-8.7524,-26.7753,18.0229,0.7204438533099999,2.54256731964,0.318,45.3,1.0,0.0,0.0,0.0
-2.0164,-44.8776,-8.9352,-26.9064,17.9712,0.74263947838,2.63873488102,0.314,45.4,1.0,0.0,0.0,0.0
-2.018,-44.957,-9.118,-27.0375,17.9195,0.76483510345,2.7349024424,0.31,45.5,1.0,0.0,0.0,0.0
-2.0195999999999996,-45.0364,-9.3008,-27.168599999999998,17.867800000000003,0.78703072852,2.83107000378,0.306,45.6,1.0,0.0,0.0,0.0
-2.0212,-45.1158,-9.483600000000001,-27.299699999999998,17.816100000000002,0.80922635359,2.92723756516,0.302,45.7,1.0,0.0,0.0,0.0
-2.0227999999999997,-45.1952,-9.6664,-27.430799999999998,17.764400000000002,0.83142197866,3.02340512654,0.298,45.8,1.0,0.0,0.0,0.0
-2.0244,-45.2746,-9.8492,-27.561899999999998,17.7127,0.8536176037300001,3.11957268792,0.294,45.9,1.0,0.0,0.0,0.0
-2.026,-45.354,-10.032,-27.692999999999998,17.661,0.8758132288,3.2157402493,0.29,46.0,1.0,0.0,0.0,0.0
-2.0284999999999997,-45.388999999999996,-10.1684,-27.778699999999997,17.610300000000002,0.8707740065,3.15067887781,0.28800000000000003,45.7,1.0,0.0,0.0,0.0
-2.0309999999999997,-45.424,-10.3048,-27.8644,17.5596,0.8657347842,3.08561750632,0.28600000000000003,45.4,1.0,0.0,0.0,0.0
-2.0335,-45.459,-10.4412,-27.9501,17.5089,0.8606955619,3.02055613483,0.284,45.1,1.0,0.0,0.0,0.0
-2.036,-45.494,-10.5776,-28.0358,17.4582,0.8556563396,2.95549476334,0.282,44.8,1.0,0.0,0.0,0.0
-2.0385,-45.528999999999996,-10.714,-28.121499999999997,17.4075,0.8506171173,2.8904333918500003,0.28,44.5,1.0,0.0,0.0,0.0
-2.041,-45.564,-10.8504,-28.2072,17.3568,0.845577895,2.82537202036,0.278,44.2,1.0,0.0,0.0,0.0
-2.0435,-45.599000000000004,-10.9868,-28.2929,17.3061,0.8405386727,2.76031064887,0.276,43.9,1.0,0.0,0.0,0.0
-2.0460000000000003,-45.634,-11.1232,-28.3786,17.2554,0.8354994504,2.6952492773800003,0.27399999999999997,43.6,1.0,0.0,0.0,0.0
-2.0485,-45.669,-11.2596,-28.4643,17.2047,0.8304602281,2.63018790589,0.272,43.3,1.0,0.0,0.0,0.0
-2.051,-45.704,-11.396,-28.55,17.154,0.8254210058,2.5651265344,0.27,43.0,1.0,0.0,0.0,0.0
-2.0580000000000003,-45.7182,-11.529200000000001,-28.6237,17.0945,0.8243070568199999,2.5351017381,0.27399999999999997,43.1,1.0,0.0,0.0,0.0
-2.065,-45.7324,-11.6624,-28.697400000000002,17.035,0.82319310784,2.5050769418,0.278,43.2,1.0,0.0,0.0,0.0
-2.072,-45.7466,-11.7956,-28.7711,16.9755,0.82207915886,2.4750521455000003,0.282,43.3,1.0,0.0,0.0,0.0
-2.079,-45.760799999999996,-11.9288,-28.8448,16.916,0.82096520988,2.4450273492,0.28600000000000003,43.4,1.0,0.0,0.0,0.0
-2.0860000000000003,-45.775,-12.062000000000001,-28.9185,16.856499999999997,0.8198512608999999,2.4150025529,0.29,43.5,1.0,0.0,0.0,0.0
-2.093,-45.7892,-12.1952,-28.9922,16.796999999999997,0.81873731192,2.3849777566,0.294,43.6,1.0,0.0,0.0,0.0
-2.1,-45.803399999999996,-12.3284,-29.0659,16.737499999999997,0.81762336294,2.3549529603000003,0.298,43.7,1.0,0.0,0.0,0.0
