"HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","SaO2sup","P_a","rocc","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
-2.92105,3.95075,0.46865,1.02975,6.87185,1.0,48.0,0.5,1.25615513025,0.31883402715,0.254098434,0.41525643385,0.2191518481,1.4552768532,0.0,0.0,0.0
-2.8387599999999997,3.86256,0.47674,1.02386,6.70136,1.0,47.6,0.6,1.24540975826,0.31775441438,0.25541257856,0.4092214884,0.21961475644,1.44727658962,0.0,0.0,0.0
-2.7564699999999998,3.77437,0.48483,1.01797,6.53087,1.0,47.2,0.7,1.23466438627,0.31667480161,0.25672672312,0.40318654295,0.22007766478000002,1.4392763260399999,0.0,0.0,0.0
-2.67418,3.68618,0.49292,1.0120799999999999,6.36038,1.0,46.8,0.8,1.22391901428,0.31559518884,0.25804086768,0.3971515975,0.22054057312,1.43127606246,0.0,0.0,0.0
-2.59189,3.59799,0.50101,1.00619,6.18989,1.0,46.4,0.9,1.21317364229,0.31451557607,0.25935501224,0.39111665205,0.22100348145999998,1.42327579888,0.0,0.0,0.0
-2.5096,3.5098,0.5091,1.0003,6.0194,1.0,46.0,1.0,1.2024282703,0.3134359633,0.2606691568,0.3850817066,0.2214663898,1.4152755353,0.0,0.0,0.0
-2.2153199999999997,3.1722699999999997,0.47263,0.95704,5.38759,0.99,46.0,1.0,1.17807974278,0.30953003561000003,0.26321464955,0.38864858051,0.22115926083999998,1.39938115126,0.0,0.0,0.0
-1.9210399999999999,2.83474,0.43616,0.91378,4.75578,0.98,46.0,1.0,1.15373121526,0.30562410792,0.2657601423,0.39221545442,0.22085213188,1.38348676722,0.0,0.0,0.0
-1.62676,2.49721,0.39969,0.87052,4.12397,0.9700000000000001,46.0,1.0,1.12938268774,0.30171818023,0.26830563505000005,0.39578232833,0.22054500292,1.3675923831799999,0.0,0.0,0.0
-1.3324799999999999,2.15968,0.36322,0.82726,3.49216,0.9600000000000001,46.0,1.0,1.10503416022,0.29781225254,0.27085112780000004,0.39934920224,0.22023787396,1.35169799914,0.0,0.0,0.0
-1.0382,1.82215,0.32675,0.784,2.86035,0.9500000000000001,46.0,1.0,1.0806856327,0.29390632485,0.27339662055,0.40291607615,0.21993074499999998,1.3358036151000001,0.0,0.0,0.0
-0.7439199999999999,1.48462,0.29028,0.74074,2.22854,0.9400000000000001,46.0,1.0,1.05633710518,0.29000039716000003,0.2759421133,0.40648295006,0.21962361604,1.31990923106,0.0,0.0,0.0
-0.44964000000000004,1.14709,0.25381,0.69748,1.59673,0.93,46.0,1.0,1.03198857766,0.28609446947,0.27848760605,0.41004982397,0.21931648708,1.30401484702,0.0,0.0,0.0
-0.15535999999999994,0.8095600000000003,0.21733999999999998,0.65422,0.9649200000000002,0.9200000000000002,46.0,1.0,1.00764005014,0.28218854178,0.28103309880000005,0.41361669788,0.21900935812,1.28812046298,0.0,0.0,0.0
0.1389199999999997,0.47203000000000017,0.18086999999999998,0.61096,0.3331099999999996,0.9100000000000001,46.0,1.0,0.9832915226200001,0.27828261409,0.28357859155000004,0.41718357179,0.21870222915999998,1.2722260789400002,0.0,0.0,0.0
0.4331999999999998,0.13450000000000006,0.14439999999999997,0.5677,-0.2987000000000002,0.9000000000000001,46.0,1.0,0.9589429951,0.2743766864,0.2861240843,0.4207504457,0.2183951002,1.2563316949,0.0,0.0,0.0
1.14232,-0.61728,0.061410000000000006,0.52504,-1.7596,0.8740000000000001,46.4,1.0,0.93655263738,0.27151747141,0.29094995558000003,0.41741576663999996,0.21974716416,1.23667862697,0.0,0.0,0.0
1.85144,-1.36906,-0.021579999999999988,0.48238,-3.2205000000000004,0.8480000000000001,46.8,1.0,0.9141622796600001,0.26865825642,0.29577582686000004,0.41408108758,0.22109922812,1.21702555904,0.0,0.0,0.0
2.5605599999999997,-2.12084,-0.10456999999999997,0.43972,-4.6814,0.8220000000000001,47.2,1.0,0.89177192194,0.26579904143,0.30060169814000004,0.41074640852,0.22245129208,1.19737249111,0.0,0.0,0.0
3.2696799999999997,-2.87262,-0.18755999999999998,0.39705999999999997,-6.1423000000000005,0.796,47.6,1.0,0.86938156422,0.26293982644,0.30542756942000004,0.40741172946,0.22380335603999998,1.1777194231800001,0.0,0.0,0.0
3.9787999999999997,-3.6244,-0.27054999999999996,0.3544,-7.6032,0.77,48.0,1.0,0.8469912065,0.26008061145,0.31025344070000005,0.40407705039999997,0.22515542,1.15806635525,0.0,0.0,0.0
4.68792,-4.37618,-0.35353999999999997,0.31173999999999996,-9.0641,0.744,48.4,1.0,0.8246008487800001,0.25722139646000003,0.31507931198,0.40074237134,0.22650748396,1.13841328732,0.0,0.0,0.0
5.39704,-5.12796,-0.43653,0.26908,-10.525,0.718,48.8,1.0,0.8022104910600001,0.25436218147,0.31990518326,0.39740769228,0.22785954792,1.11876021939,0.0,0.0,0.0
6.10616,-5.87974,-0.51952,0.22641999999999995,-11.9859,0.692,49.2,1.0,0.7798201333400001,0.25150296648000003,0.32473105454,0.39407301322,0.22921161188,1.09910715146,0.0,0.0,0.0
6.8152800000000004,-6.63152,-0.60251,0.18375999999999998,-13.4468,0.666,49.6,1.0,0.75742977562,0.24864375149,0.32955692582,0.39073833416000003,0.23056367583999998,1.07945408353,0.0,0.0,0.0
7.5244,-7.3833,-0.6855,0.1411,-14.9077,0.64,50.0,1.0,0.7350394179,0.2457845365,0.3343827971,0.3874036551,0.2319157398,1.0598010156,0.0,0.0,0.0
8.17339,-8.01012,-0.7439,0.16328,-16.183510000000002,0.631,49.4,1.0,0.71846366791,0.24215735565000002,0.33774750047,0.3875835355,0.22939486257,1.0551782753699999,0.0,0.0,0.0
8.82238,-8.636940000000001,-0.8023,0.18546,-17.45932,0.622,48.8,1.0,0.70188791792,0.23853017480000002,0.34111220384,0.3877634159,0.22687398534,1.05055553514,0.0,0.0,0.0
9.47137,-9.263760000000001,-0.8607,0.20764,-18.73513,0.613,48.2,1.0,0.68531216793,0.23490299395,0.34447690721,0.3879432963,0.22435310811,1.04593279491,0.0,0.0,0.0
10.12036,-9.89058,-0.9191,0.22982,-20.01094,0.604,47.6,1.0,0.66873641794,0.2312758131,0.34784161058,0.3881231767,0.22183223088,1.04131005468,0.0,0.0,0.0
