"SaO2sup","P_a","HHb_d","HbO2_d","HbT_d","CCO_d","_PCr_d","_P_d","_ATP_d","ignore","ignore"
1.0,49.2515686913,0.0,-0.428571428571,-0.571428571429,0.0128246285653,5.84354151261,1.14584954546,3.0,7.02979814815,7.02
1.0,49.2404575802,0.0,-0.428571428571,-0.571428571429,0.0128546045845,5.84908541176,1.14617419786,3.0,7.02973740741,7.02
1.0,49.2293464691,0.0,-0.428571428571,-0.571428571429,0.0128845806037,5.85478313819,1.14644821747,3.0,7.02969018519,7.02
1.0,49.218235358,0.0,-0.428571428571,-0.571428571429,0.0129145566229,5.86063469188,1.14667160428,3.0,7.02965648148,7.02
1.0,49.2071242469,0.0,-0.428571428571,-0.571428571429,0.012944532642,5.86664007283,1.14684435829,3.0,7.0296362963,7.02
1.0,49.1960131358,0.0,-0.428571428571,-0.571428571429,0.0129745086612,5.87279928105,1.1469664795,3.0,7.02962962963,7.02
1.0,49.1849020246,0.0,-0.428571428571,-0.571428571429,0.0130044846804,5.87911231653,1.14703796792,3.0,7.02962962963,7.02
1.0,49.1737909135,0.0,-0.428571428571,-0.571428571429,0.0130344606996,5.88531981653,1.14684852941,3.0,7.02962962963,7.02
1.0,49.1626798024,0.0,-0.428571428571,-0.571428571429,0.0130644367188,5.89133768464,1.1463597549,3.0,7.02962962963,7.02
1.0,49.1515686913,0.0,-0.428571428571,-0.571428571429,0.013094412738,5.89716592087,1.1455925,3.0,7.02962962963,7.02
1.0,49.145530044,0.0,-0.428571428571,-0.571428571429,0.0131243887572,5.90280452521,1.14454676471,3.0,7.02962962963,7.02
1.0,49.1451677251,0.0,-0.428571428571,-0.571428571429,0.0131543647763,5.90825349766,1.14322254902,3.0,7.02962962963,7.02
1.0,49.1448054063,0.0,-0.428571428571,-0.571428571429,0.0131843407955,5.91351283823,1.14161985294,3.0,7.02962962963,7.02
1.0,49.1444430874,0.0,-0.428571428571,-0.571428571429,0.0132143168147,5.91858254692,1.13973867647,3.0,7.02962962963,7.02
1.0,49.1440807686,0.0,-0.428571428571,-0.571428571429,0.0132442928339,5.92346262371,1.13757901961,3.0,7.02962962963,7.02
1.0,49.1437184498,0.0,-0.428571428571,-0.571428571429,0.0132742688531,5.92815306863,1.13514088235,3.0,7.02962962963,7.02
1.0,49.1433561309,0.0,-0.428571428571,-0.571428571429,0.0133042448723,5.93260002451,1.13242426471,3.0,7.02962962963,7.02
1.0,49.1429938121,0.0,-0.428571428571,-0.571428571429,0.0133342208914,5.93670352124,1.12942916667,3.0,7.02962962963,7.02
